Исследуемая последовательность длинной 2048 бит

Монобитный тест пройден; количество еденичных бит: 	1043
Тест серий пройден
Корреляционный тест НЕ пройден
Блочный тест (тест Поккера) пройден
Поледовательность была разделена на блоки размером 6 бит:
Тип блока	Кол-во блоков
000000		3
000001		4
000010		8
000011		11
000100		6
000101		12
000110		7
000111		3
001000		2
001001		7
001010		3
001011		9
001100		4
001101		9
001110		8
001111		6
010000		4
010001		6
010010		5
010011		3
010100		4
010101		8
010110		7
010111		7
011000		2
011001		6
011010		5
011011		11
011100		4
011101		3
011110		7
011111		9
100000		2
100001		5
100010		5
100011		6
100100		2
100101		5
100110		11
100111		10
101000		5
101001		6
101010		3
101011		3
101100		4
101101		3
101110		3
101111		2
110000		2
110001		5
110010		5
110011		5
110100		5
110101		7
110110		6
110111		7
111000		3
111001		2
111010		5
111011		8
111100		0
111101		2
111110		6
111111		5
